condition,p_coverage,run_id,cascade_fraction,contained,time_to_steady_state
A2,0.0000,0,0.980200,0,18
A2,0.0000,1,0.938200,0,19
A2,0.0000,2,0.938200,0,19
A2,0.0000,3,0.549400,0,21
A2,0.0000,4,0.949200,0,18
A2,0.0000,5,0.411600,0,22
A2,0.0000,6,0.727400,0,21
A2,0.0000,7,0.746400,0,22
A2,0.0000,8,0.938200,0,19
A2,0.0000,9,1.000000,0,15
A2,0.0000,10,0.646000,0,21
A2,0.0000,11,0.995400,0,17
A2,0.0000,12,0.650600,0,22
A2,0.0000,13,1.000000,0,15
A2,0.0000,14,0.662200,0,23
A2,0.0000,15,0.980200,0,18
A2,0.0000,16,0.789800,0,23
A2,0.0000,17,0.998400,0,15
A2,0.0000,18,0.973000,0,16
A2,0.0000,19,0.643400,0,21
A2,0.0000,20,0.999200,0,15
A2,0.0000,21,0.999200,0,15
A2,0.0000,22,0.999200,0,15
A2,0.0000,23,0.241800,0,22
A2,0.0000,24,0.999200,0,15
A2,0.0000,25,0.910200,0,19
A2,0.0000,26,0.998800,0,15
A2,0.0000,27,0.998400,0,15
A2,0.0000,28,0.737200,0,23
A2,0.0000,29,0.949200,0,18
A2,0.0000,30,0.980200,0,18
A2,0.0000,31,0.188000,0,20
A2,0.0000,32,0.727400,0,21
A2,0.0000,33,0.411600,0,22
A2,0.0000,34,0.662200,0,23
A2,0.0000,35,0.241800,0,22
A2,0.0000,36,0.727400,0,21
A2,0.0000,37,0.995400,0,17
A2,0.0000,38,0.980200,0,18
A2,0.0000,39,0.999200,0,15
A2,0.0000,40,0.134400,0,20
A2,0.0000,41,0.980200,0,18
A2,0.0000,42,0.643400,0,21
A2,0.0000,43,0.938200,0,19
A2,0.0000,44,0.967000,0,18
A2,0.0000,45,0.206400,0,21
A2,0.0000,46,0.938200,0,19
A2,0.0000,47,0.995400,0,17
A2,0.0000,48,0.971600,0,18
A2,0.0000,49,0.949200,0,18
A2,0.0000,50,0.949200,0,18
A2,0.0000,51,0.273800,0,21
A2,0.0000,52,0.998800,0,15
A2,0.0000,53,0.350000,0,20
A2,0.0000,54,0.998400,0,15
A2,0.0000,55,0.350000,0,20
A2,0.0000,56,0.967000,0,18
A2,0.0000,57,0.995400,0,17
A2,0.0000,58,0.846200,0,21
A2,0.0000,59,0.999200,0,15
A2,0.0000,60,0.241800,0,22
A2,0.0000,61,0.995400,0,17
A2,0.0000,62,0.910200,0,19
A2,0.0000,63,0.998400,0,15
A2,0.0000,64,0.650600,0,22
A2,0.0000,65,0.789800,0,23
A2,0.0000,66,0.650600,0,22
A2,0.0000,67,0.411600,0,22
A2,0.0000,68,0.477600,0,23
A2,0.0000,69,0.206400,0,21
A2,0.0000,70,0.846200,0,21
A2,0.0000,71,0.999200,0,15
A2,0.0000,72,0.980200,0,18
A2,0.0000,73,1.000000,0,15
A2,0.0000,74,0.451600,0,23
A2,0.0000,75,0.846200,0,21
A2,0.0000,76,0.284600,0,21
A2,0.0000,77,0.910200,0,19
A2,0.0000,78,0.973000,0,16
A2,0.0000,79,0.846200,0,21
A2,0.0000,80,0.197400,0,20
A2,0.0000,81,0.999200,0,15
A2,0.0000,82,0.998800,0,15
A2,0.0000,83,0.312000,0,23
A2,0.0000,84,1.000000,0,15
A2,0.0000,85,1.000000,0,15
A2,0.0000,86,0.855200,0,20
A2,0.0000,87,0.549400,0,21
A2,0.0000,88,0.973000,0,16
A2,0.0000,89,0.999000,0,15
A2,0.0000,90,0.451600,0,23
A2,0.0000,91,1.000000,0,15
A2,0.0000,92,0.855200,0,20
A2,0.0000,93,0.998400,0,15
A2,0.0000,94,0.284600,0,21
A2,0.0000,95,0.613000,0,22
A2,0.0000,96,0.998400,0,15
A2,0.0000,97,1.000000,0,15
A2,0.0000,98,0.999200,0,15
A2,0.0000,99,0.241800,0,22
A2,0.0200,0,0.234800,0,227
A2,0.0200,1,0.729400,0,213
A2,0.0200,2,0.609400,0,220
A2,0.0200,3,0.721800,0,201
A2,0.0200,4,0.733200,0,238
A2,0.0200,5,0.733200,0,200
A2,0.0200,6,0.126600,0,185
A2,0.0200,7,0.997200,0,137
A2,0.0200,8,0.989200,0,136
A2,0.0200,9,0.702200,0,227
A2,0.0200,10,0.591000,0,243
A2,0.0200,11,0.693200,0,231
A2,0.0200,12,0.616400,0,189
A2,0.0200,13,0.970800,0,127
A2,0.0200,14,0.656600,0,204
A2,0.0200,15,0.991200,0,128
A2,0.0200,16,0.986600,0,134
A2,0.0200,17,0.994000,0,103
A2,0.0200,18,0.529200,0,208
A2,0.0200,19,0.853800,0,226
A2,0.0200,20,0.997000,0,122
A2,0.0200,21,0.984600,0,145
A2,0.0200,22,0.948200,0,181
A2,0.0200,23,0.924800,0,192
A2,0.0200,24,0.260200,0,179
A2,0.0200,25,0.991000,0,124
A2,0.0200,26,0.994200,0,124
A2,0.0200,27,0.566000,0,240
A2,0.0200,28,0.886000,0,174
A2,0.0200,29,0.991600,0,133
A2,0.0200,30,0.995200,0,114
A2,0.0200,31,0.750000,0,247
A2,0.0200,32,0.997200,0,118
A2,0.0200,33,0.385200,0,226
A2,0.0200,34,0.743600,0,246
A2,0.0200,35,0.072000,1,170
A2,0.0200,36,0.996800,0,139
A2,0.0200,37,0.505800,0,260
A2,0.0200,38,0.513400,0,225
A2,0.0200,39,0.819400,0,192
A2,0.0200,40,0.547200,0,280
A2,0.0200,41,0.699200,0,219
A2,0.0200,42,0.596000,0,211
A2,0.0200,43,0.994200,0,123
A2,0.0200,44,0.716600,0,198
A2,0.0200,45,0.232600,0,186
A2,0.0200,46,0.993000,0,144
A2,0.0200,47,0.260600,0,181
A2,0.0200,48,0.284000,0,232
A2,0.0200,49,0.625600,0,205
A2,0.0200,50,0.996600,0,118
A2,0.0200,51,0.983800,0,148
A2,0.0200,52,0.977600,0,150
A2,0.0200,53,0.985600,0,149
A2,0.0200,54,0.994000,0,139
A2,0.0200,55,0.588400,0,254
A2,0.0200,56,0.977000,0,144
A2,0.0200,57,0.990200,0,120
A2,0.0200,58,0.996000,0,127
A2,0.0200,59,0.084200,1,202
A2,0.0200,60,0.941400,0,198
A2,0.0200,61,0.936000,0,157
A2,0.0200,62,0.507800,0,188
A2,0.0200,63,0.869000,0,184
A2,0.0200,64,0.753200,0,220
A2,0.0200,65,0.882600,0,233
A2,0.0200,66,0.755400,0,223
A2,0.0200,67,0.984600,0,150
A2,0.0200,68,0.986800,0,150
A2,0.0200,69,0.990600,0,147
A2,0.0200,70,0.858800,0,189
A2,0.0200,71,0.807400,0,214
A2,0.0200,72,0.159800,0,190
A2,0.0200,73,0.641200,0,239
A2,0.0200,74,0.619000,0,225
A2,0.0200,75,0.261400,0,200
A2,0.0200,76,0.988600,0,146
A2,0.0200,77,0.594400,0,257
A2,0.0200,78,0.907400,0,182
A2,0.0200,79,0.998200,0,134
A2,0.0200,80,0.978000,0,142
A2,0.0200,81,0.577600,0,244
A2,0.0200,82,0.979200,0,154
A2,0.0200,83,0.754000,0,224
A2,0.0200,84,0.987200,0,143
A2,0.0200,85,0.991600,0,136
A2,0.0200,86,0.996800,0,120
A2,0.0200,87,0.436600,0,206
A2,0.0200,88,0.664200,0,205
A2,0.0200,89,0.263200,0,247
A2,0.0200,90,0.969000,0,126
A2,0.0200,91,0.890200,0,185
A2,0.0200,92,0.873000,0,212
A2,0.0200,93,0.374600,0,230
A2,0.0200,94,0.698800,0,213
A2,0.0200,95,0.552200,0,216
A2,0.0200,96,0.412800,0,227
A2,0.0200,97,0.398600,0,196
A2,0.0200,98,0.988200,0,156
A2,0.0200,99,0.984600,0,126
A2,0.0400,0,0.981800,0,69
A2,0.0400,1,0.847200,0,115
A2,0.0400,2,0.944400,0,115
A2,0.0400,3,0.906600,0,120
A2,0.0400,4,0.975400,0,83
A2,0.0400,5,0.693800,0,137
A2,0.0400,6,0.984200,0,71
A2,0.0400,7,0.988800,0,69
A2,0.0400,8,0.450400,0,140
A2,0.0400,9,0.646600,0,118
A2,0.0400,10,0.583000,0,142
A2,0.0400,11,0.312000,0,122
A2,0.0400,12,0.220800,0,146
A2,0.0400,13,0.938000,0,105
A2,0.0400,14,0.587800,0,136
A2,0.0400,15,0.673400,0,159
A2,0.0400,16,0.729200,0,136
A2,0.0400,17,0.976400,0,77
A2,0.0400,18,0.862000,0,118
A2,0.0400,19,0.225400,0,117
A2,0.0400,20,0.981400,0,84
A2,0.0400,21,0.728000,0,135
A2,0.0400,22,0.667600,0,133
A2,0.0400,23,0.768400,0,101
A2,0.0400,24,0.955400,0,91
A2,0.0400,25,0.953800,0,91
A2,0.0400,26,0.970800,0,78
A2,0.0400,27,0.862800,0,124
A2,0.0400,28,0.975000,0,69
A2,0.0400,29,0.960200,0,92
A2,0.0400,30,0.924200,0,97
A2,0.0400,31,0.920200,0,109
A2,0.0400,32,0.961400,0,98
A2,0.0400,33,0.316400,0,143
A2,0.0400,34,0.629600,0,129
A2,0.0400,35,0.938000,0,91
A2,0.0400,36,0.629600,0,134
A2,0.0400,37,0.938400,0,93
A2,0.0400,38,0.991200,0,72
A2,0.0400,39,0.971400,0,75
A2,0.0400,40,0.973600,0,82
A2,0.0400,41,0.977400,0,88
A2,0.0400,42,0.491000,0,158
A2,0.0400,43,0.961000,0,83
A2,0.0400,44,0.587800,0,126
A2,0.0400,45,0.963400,0,84
A2,0.0400,46,0.732200,0,124
A2,0.0400,47,0.965800,0,68
A2,0.0400,48,0.380200,0,120
A2,0.0400,49,0.592200,0,135
A2,0.0400,50,0.224600,0,115
A2,0.0400,51,0.985800,0,83
A2,0.0400,52,0.160400,0,125
A2,0.0400,53,0.986400,0,76
A2,0.0400,54,0.184200,0,137
A2,0.0400,55,0.969200,0,82
A2,0.0400,56,0.597000,0,143
A2,0.0400,57,0.964400,0,87
A2,0.0400,58,0.647000,0,153
A2,0.0400,59,0.972000,0,98
A2,0.0400,60,0.336600,0,150
A2,0.0400,61,0.977600,0,68
A2,0.0400,62,0.978200,0,72
A2,0.0400,63,0.943600,0,100
A2,0.0400,64,0.927400,0,113
A2,0.0400,65,0.180600,0,131
A2,0.0400,66,0.597400,0,162
A2,0.0400,67,0.943600,0,78
A2,0.0400,68,0.472600,0,158
A2,0.0400,69,0.900800,0,117
A2,0.0400,70,0.650400,0,158
A2,0.0400,71,0.648600,0,153
A2,0.0400,72,0.531200,0,131
A2,0.0400,73,0.278600,0,148
A2,0.0400,74,0.551000,0,151
A2,0.0400,75,0.936000,0,87
A2,0.0400,76,0.916200,0,111
A2,0.0400,77,0.828600,0,100
A2,0.0400,78,0.934400,0,112
A2,0.0400,79,0.614000,0,149
A2,0.0400,80,0.905000,0,106
A2,0.0400,81,0.910000,0,113
A2,0.0400,82,0.982600,0,76
A2,0.0400,83,0.529000,0,135
A2,0.0400,84,0.892600,0,104
A2,0.0400,85,0.552600,0,143
A2,0.0400,86,0.978800,0,72
A2,0.0400,87,0.152200,0,122
A2,0.0400,88,0.518800,0,135
A2,0.0400,89,0.557200,0,144
A2,0.0400,90,0.856000,0,133
A2,0.0400,91,0.846000,0,126
A2,0.0400,92,0.559400,0,145
A2,0.0400,93,0.785000,0,138
A2,0.0400,94,0.783000,0,112
A2,0.0400,95,0.461000,0,148
A2,0.0400,96,0.768600,0,148
A2,0.0400,97,0.939800,0,101
A2,0.0400,98,0.196000,0,132
A2,0.0400,99,0.971200,0,85
A2,0.0600,0,0.259200,0,102
A2,0.0600,1,0.949000,0,74
A2,0.0600,2,0.823400,0,95
A2,0.0600,3,0.448200,0,118
A2,0.0600,4,0.651400,0,107
A2,0.0600,5,0.784000,0,101
A2,0.0600,6,0.801200,0,86
A2,0.0600,7,0.492200,0,102
A2,0.0600,8,0.338200,0,117
A2,0.0600,9,0.950000,0,59
A2,0.0600,10,0.920400,0,69
A2,0.0600,11,0.101200,0,80
A2,0.0600,12,0.168600,0,84
A2,0.0600,13,0.961800,0,58
A2,0.0600,14,0.955600,0,57
A2,0.0600,15,0.609000,0,97
A2,0.0600,16,0.957000,0,56
A2,0.0600,17,0.832400,0,91
A2,0.0600,18,0.440800,0,107
A2,0.0600,19,0.877000,0,74
A2,0.0600,20,0.933000,0,70
A2,0.0600,21,0.874000,0,75
A2,0.0600,22,0.950400,0,63
A2,0.0600,23,0.332800,0,110
A2,0.0600,24,0.140000,0,93
A2,0.0600,25,0.457400,0,112
A2,0.0600,26,0.317800,0,97
A2,0.0600,27,0.279400,0,89
A2,0.0600,28,0.522600,0,84
A2,0.0600,29,0.499400,0,95
A2,0.0600,30,0.896000,0,78
A2,0.0600,31,0.174800,0,106
A2,0.0600,32,0.922400,0,70
A2,0.0600,33,0.895200,0,82
A2,0.0600,34,0.778000,0,85
A2,0.0600,35,0.851400,0,88
A2,0.0600,36,0.466400,0,100
A2,0.0600,37,0.522600,0,99
A2,0.0600,38,0.596400,0,110
A2,0.0600,39,0.667200,0,94
A2,0.0600,40,0.935000,0,78
A2,0.0600,41,0.400600,0,94
A2,0.0600,42,0.217000,0,102
A2,0.0600,43,0.184800,0,83
A2,0.0600,44,0.951800,0,71
A2,0.0600,45,0.944800,0,64
A2,0.0600,46,0.419600,0,97
A2,0.0600,47,0.820600,0,94
A2,0.0600,48,0.566800,0,94
A2,0.0600,49,0.894800,0,87
A2,0.0600,50,0.941400,0,68
A2,0.0600,51,0.783400,0,93
A2,0.0600,52,0.952200,0,58
A2,0.0600,53,0.745200,0,106
A2,0.0600,54,0.918000,0,73
A2,0.0600,55,0.593600,0,114
A2,0.0600,56,0.211200,0,84
A2,0.0600,57,0.647400,0,115
A2,0.0600,58,0.941200,0,52
A2,0.0600,59,0.922400,0,82
A2,0.0600,60,0.460200,0,93
A2,0.0600,61,0.938200,0,63
A2,0.0600,62,0.915800,0,78
A2,0.0600,63,0.344200,0,91
A2,0.0600,64,0.760400,0,120
A2,0.0600,65,0.286400,0,83
A2,0.0600,66,0.811600,0,92
A2,0.0600,67,0.488200,0,105
A2,0.0600,68,0.339400,0,92
A2,0.0600,69,0.499400,0,96
A2,0.0600,70,0.558400,0,111
A2,0.0600,71,0.844200,0,82
A2,0.0600,72,0.610800,0,121
A2,0.0600,73,0.583600,0,90
A2,0.0600,74,0.358800,0,105
A2,0.0600,75,0.656400,0,112
A2,0.0600,76,0.804200,0,99
A2,0.0600,77,0.909400,0,87
A2,0.0600,78,0.290000,0,97
A2,0.0600,79,0.579600,0,104
A2,0.0600,80,0.734600,0,87
A2,0.0600,81,0.566400,0,118
A2,0.0600,82,0.391200,0,119
A2,0.0600,83,0.952800,0,57
A2,0.0600,84,0.548200,0,98
A2,0.0600,85,0.935600,0,65
A2,0.0600,86,0.417400,0,107
A2,0.0600,87,0.912600,0,72
A2,0.0600,88,0.900400,0,77
A2,0.0600,89,0.945000,0,62
A2,0.0600,90,0.636400,0,81
A2,0.0600,91,0.539600,0,116
A2,0.0600,92,0.105600,0,102
A2,0.0600,93,0.809600,0,88
A2,0.0600,94,0.876800,0,74
A2,0.0600,95,0.946200,0,69
A2,0.0600,96,0.945000,0,69
A2,0.0600,97,0.936600,0,67
A2,0.0600,98,0.744600,0,90
A2,0.0600,99,0.569800,0,84
A2,0.0800,0,0.911200,0,49
A2,0.0800,1,0.628800,0,90
A2,0.0800,2,0.895400,0,67
A2,0.0800,3,0.257800,0,86
A2,0.0800,4,0.225800,0,82
A2,0.0800,5,0.488200,0,90
A2,0.0800,6,0.594400,0,79
A2,0.0800,7,0.743400,0,67
A2,0.0800,8,0.829800,0,78
A2,0.0800,9,0.772200,0,69
A2,0.0800,10,0.131800,0,87
A2,0.0800,11,0.651000,0,81
A2,0.0800,12,0.407600,0,78
A2,0.0800,13,0.823200,0,82
A2,0.0800,14,0.485600,0,80
A2,0.0800,15,0.480200,0,74
A2,0.0800,16,0.777800,0,75
A2,0.0800,17,0.762800,0,72
A2,0.0800,18,0.415800,0,86
A2,0.0800,19,0.287200,0,83
A2,0.0800,20,0.569000,0,66
A2,0.0800,21,0.405800,0,98
A2,0.0800,22,0.898000,0,56
A2,0.0800,23,0.889200,0,70
A2,0.0800,24,0.847400,0,64
A2,0.0800,25,0.871400,0,56
A2,0.0800,26,0.881000,0,50
A2,0.0800,27,0.753600,0,82
A2,0.0800,28,0.862800,0,60
A2,0.0800,29,0.903800,0,51
A2,0.0800,30,0.840000,0,81
A2,0.0800,31,0.308800,0,73
A2,0.0800,32,0.920400,0,48
A2,0.0800,33,0.914400,0,47
A2,0.0800,34,0.159600,0,76
A2,0.0800,35,0.821200,0,81
A2,0.0800,36,0.895400,0,69
A2,0.0800,37,0.362800,0,73
A2,0.0800,38,0.139400,0,76
A2,0.0800,39,0.844600,0,73
A2,0.0800,40,0.918200,0,49
A2,0.0800,41,0.808400,0,77
A2,0.0800,42,0.574000,0,88
A2,0.0800,43,0.654400,0,76
A2,0.0800,44,0.543000,0,72
A2,0.0800,45,0.693400,0,77
A2,0.0800,46,0.865400,0,58
A2,0.0800,47,0.826000,0,73
A2,0.0800,48,0.173800,0,59
A2,0.0800,49,0.864400,0,61
