topology,n_nodes,trial,n_edges,mean_in_degree,mean_out_degree,max_in_degree,max_out_degree,mean_total_degree,gamma_mle,k_min_fit,k_mean,k2_mean,kappa
BA,1000,0,2991,2.991,2.991,90,3,5.982,2.6763236746502104,4,5.982,88.55,14.802741558007355
BA,1000,1,2991,2.991,2.991,87,3,5.982,2.6554917757980094,4,5.982,81.644,13.648278167836844
BA,1000,2,2991,2.991,2.991,120,3,5.982,2.6770556535967422,4,5.982,89.44,14.95152123035774
BA,1000,3,2991,2.991,2.991,108,3,5.982,2.6767854537517386,4,5.982,86.374,14.438983617519224
BA,1000,4,2991,2.991,2.991,111,3,5.982,2.713790595341174,4,5.982,91.83,15.351053159478434
BA,1000,5,2991,2.991,2.991,91,3,5.982,2.6537577638163112,4,5.982,86.594,14.475760615178869
BA,1000,6,2991,2.991,2.991,74,3,5.982,2.714279085251267,4,5.982,77.42,12.942159812771648
BA,1000,7,2991,2.991,2.991,81,3,5.982,2.7029569102392004,4,5.982,88.224,14.748244734202608
BA,1000,8,2991,2.991,2.991,73,3,5.982,2.667287709639702,4,5.982,76.648,12.813105984620528
BA,1000,9,2991,2.991,2.991,97,3,5.982,2.6151622076777525,4,5.982,84.388,14.106987629555332
BA,5000,0,14991,2.9982,2.9982,258,3,5.9964,2.658445426869939,4,5.9964,110.1688,18.372490160763125
BA,5000,1,14991,2.9982,2.9982,210,3,5.9964,2.67248071378933,4,5.9964,100.6148,16.77920085384564
BA,5000,2,14991,2.9982,2.9982,298,3,5.9964,2.6935064949539105,4,5.9964,115.2452,19.21906477219665
BA,5000,3,14991,2.9982,2.9982,251,3,5.9964,2.7049067055582166,4,5.9964,107.546,17.935094389967315
BA,5000,4,14991,2.9982,2.9982,232,3,5.9964,2.6660174664161276,4,5.9964,107.4952,17.926622640250816
BA,5000,5,14991,2.9982,2.9982,207,3,5.9964,2.691578164702786,4,5.9964,104.4964,17.426522580214794
BA,5000,6,14991,2.9982,2.9982,152,3,5.9964,2.6714257495815446,4,5.9964,96.5312,16.09819224868254
BA,5000,7,14991,2.9982,2.9982,184,3,5.9964,2.6835069739990063,4,5.9964,109.198,18.210593022480154
BA,5000,8,14991,2.9982,2.9982,148,3,5.9964,2.676361023273988,4,5.9964,92.4968,15.425388566473215
BA,5000,9,14991,2.9982,2.9982,221,3,5.9964,2.675657524500267,4,5.9964,103.5492,17.268561136682006
BA,10000,0,29991,2.9991,2.9991,371,3,5.9982,2.688072640316339,4,5.9982,121.2448,20.213530725884432
BA,10000,1,29991,2.9991,2.9991,289,3,5.9982,2.6750478749464244,4,5.9982,107.6064,17.939781934580374
BA,10000,2,29991,2.9991,2.9991,452,3,5.9982,2.681839123477149,4,5.9982,125.1422,20.863292321029643
BA,10000,3,29991,2.9991,2.9991,338,3,5.9982,2.682130308443633,4,5.9982,114.99,19.17075122536761
BA,10000,4,29991,2.9991,2.9991,314,3,5.9982,2.6781763844603477,4,5.9982,113.6658,18.94998499549865
BA,10000,5,29991,2.9991,2.9991,276,3,5.9982,2.681393594875465,4,5.9982,112.971,18.834150245073523
BA,10000,6,29991,2.9991,2.9991,220,3,5.9982,2.6829340864955826,4,5.9982,104.5326,17.427328198459538
BA,10000,7,29991,2.9991,2.9991,270,3,5.9982,2.694514363862046,4,5.9982,117.4166,19.575305925110868
BA,10000,8,29991,2.9991,2.9991,211,3,5.9982,2.671297263535397,4,5.9982,99.845,16.64582708145777
BA,10000,9,29991,2.9991,2.9991,302,3,5.9982,2.6810277980934734,4,5.9982,111.1548,18.531359407822347
Config,1000,0,2586,2.586,2.586,30,6,5.172,2.839332645824522,4,5.172,41.1,7.946635730858469
Config,1000,1,2556,2.556,2.556,28,6,5.112,2.879274828970062,4,5.112,39.442,7.715571205007825
Config,1000,2,2485,2.485,2.485,27,7,4.97,2.874372229152265,4,4.97,36.44,7.331991951710261
Config,1000,3,2585,2.585,2.585,29,7,5.17,2.8529986850323343,4,5.17,40.294,7.793810444874274
Config,1000,4,2559,2.559,2.559,27,6,5.118,2.8131554561877863,4,5.118,39.13,7.645564673700664
Config,1000,5,2639,2.639,2.639,30,7,5.278,2.7808627210866823,4,5.278,42.114,7.97915877226222
Config,1000,6,2498,2.498,2.498,30,6,4.996,2.930878871763415,4,4.996,37.426,7.49119295436349
Config,1000,7,2541,2.541,2.541,31,6,5.082,2.8837093897378336,4,5.082,39.956,7.862258953168045
Config,1000,8,2474,2.474,2.474,30,5,4.948,2.943908292441036,4,4.948,35.668,7.208569118835893
Config,1000,9,2593,2.593,2.593,30,7,5.186,2.7607983604969255,4,5.186,42.224,8.141920555341303
Config,5000,0,14081,2.8162,2.8162,68,9,5.6324,2.717182392728855,4,5.6324,66.104,11.736382359207443
Config,5000,1,14238,2.8476,2.8476,68,8,5.6952,2.6713093037149234,4,5.6952,66.07,11.600997331085825
Config,5000,2,14239,2.8478,2.8478,69,8,5.6956,2.6983819615499565,4,5.6956,65.1208,11.433527635367653
Config,5000,3,13817,2.7634,2.7634,65,7,5.5268,2.737156845758964,4,5.5268,60.2532,10.902004776724326
Config,5000,4,14056,2.8112,2.8112,68,8,5.6224,2.6919711158771955,4,5.6224,63.3472,11.266932270916335
Config,5000,5,14420,2.884,2.884,69,9,5.768,2.6788403908527254,4,5.768,66.3492,11.502981969486823
Config,5000,6,13994,2.7988,2.7988,68,7,5.5976,2.699711501569922,4,5.5976,60.73,10.849292553951694
Config,5000,7,13766,2.7532,2.7532,69,8,5.5064,2.7332390300300275,4,5.5064,58.8424,10.686183350283306
Config,5000,8,13976,2.7952,2.7952,65,8,5.5904,2.7178150473184886,4,5.5904,60.24,10.775615340583858
Config,5000,9,14054,2.8108,2.8108,69,10,5.6216,2.7035872144016198,4,5.6216,62.4664,11.111854276362601
Config,10000,0,28721,2.8721,2.8721,98,8,5.7442,2.699629174195878,4,5.7442,76.7134,13.354931931339436
Config,10000,1,28877,2.8877,2.8877,97,9,5.7754,2.685478691711227,4,5.7754,75.0352,12.992208331890431
Config,10000,2,28482,2.8482,2.8482,99,8,5.6964,2.6952383038871925,4,5.6964,70.9162,12.449301313110036
Config,10000,3,28151,2.8151,2.8151,98,9,5.6302,2.720248074241665,4,5.6302,67.7074,12.0257539696636
Config,10000,4,28546,2.8546,2.8546,99,9,5.7092,2.7040716980210924,4,5.7092,74.5054,13.050059553002171
Config,10000,5,29026,2.9026,2.9026,99,9,5.8052,2.687937234662808,4,5.8052,76.434,13.166471439399158
Config,10000,6,28734,2.8734,2.8734,94,9,5.7468,2.6859832057081023,4,5.7468,72.6034,12.633709194682256
Config,10000,7,28505,2.8505,2.8505,99,9,5.701,2.709499345323623,4,5.701,73.6108,12.911910191194528
Config,10000,8,28343,2.8343,2.8343,95,9,5.6686,2.707341423466614,4,5.6686,69.2808,12.22185372049536
Config,10000,9,28893,2.8893,2.8893,95,8,5.7786,2.6649768597986014,4,5.7786,73.335,12.69079015678538
