condition,p_coverage,run_id,cascade_fraction,contained,time_to_steady_state
C6,0.0000,0,0.904600,0,20
C6,0.0000,1,0.861800,0,20
C6,0.0000,2,0.830000,0,21
C6,0.0000,3,0.714400,0,22
C6,0.0000,4,0.881600,0,20
C6,0.0000,5,0.705000,0,21
C6,0.0000,6,0.916200,0,20
C6,0.0000,7,0.647400,0,22
C6,0.0000,8,0.861800,0,20
C6,0.0000,9,0.882200,0,19
C6,0.0000,10,0.196200,0,20
C6,0.0000,11,0.969000,0,19
C6,0.0000,12,0.729400,0,20
C6,0.0000,13,0.953000,0,20
C6,0.0000,14,0.725600,0,21
C6,0.0000,15,0.811800,0,23
C6,0.0000,16,0.793400,0,21
C6,0.0000,17,0.961800,0,18
C6,0.0000,18,0.957200,0,19
C6,0.0000,19,0.651200,0,21
C6,0.0000,20,0.976600,0,17
C6,0.0000,21,0.932200,0,19
C6,0.0000,22,0.976600,0,17
C6,0.0000,23,0.817800,0,21
C6,0.0000,24,0.973400,0,18
C6,0.0000,25,0.861800,0,20
C6,0.0000,26,0.966600,0,19
C6,0.0000,27,0.961800,0,18
C6,0.0000,28,0.641000,0,22
C6,0.0000,29,0.811800,0,23
C6,0.0000,30,0.904600,0,20
C6,0.0000,31,0.761400,0,21
C6,0.0000,32,0.894400,0,20
C6,0.0000,33,0.705000,0,21
C6,0.0000,34,0.725600,0,21
C6,0.0000,35,0.817800,0,21
C6,0.0000,36,0.916200,0,20
C6,0.0000,37,0.969000,0,19
C6,0.0000,38,0.904600,0,20
C6,0.0000,39,0.932200,0,19
C6,0.0000,40,0.651200,0,21
C6,0.0000,41,0.904600,0,20
C6,0.0000,42,0.396200,0,24
C6,0.0000,43,0.861800,0,20
C6,0.0000,44,0.858400,0,22
C6,0.0000,45,0.542000,0,22
C6,0.0000,46,0.830000,0,21
C6,0.0000,47,0.974400,0,17
C6,0.0000,48,0.879600,0,20
C6,0.0000,49,0.811800,0,23
C6,0.0000,50,0.881600,0,20
C6,0.0000,51,0.490400,0,21
C6,0.0000,52,0.882200,0,19
